Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\Amol progenitor 96.96 index sort\141028EES Amol index plate2\ChipRun.bml,1361995093,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-10-28 12:41:43,00:30:58,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A71,NTC2,Unknown,1,Zfpm1,Test,21.2754208503695,0,Fail,0.0203228454321514,999,78.0934222190131,0,
S96-A70,NTC2,Unknown,1,Tcf7,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A69,NTC2,Unknown,1,Notch1,Test,15.5468423330853,0,Fail,0.0203228454321514,999,75.805417474095,0,
S96-A68,NTC2,Unknown,1,Lyl1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A67,NTC2,Unknown,1,Ezh1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A78,NTC2,Unknown,1,CDK4,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A77,NTC2,Unknown,1,Tcfe2a,Test,13.3729344861494,1,Pass,0.0203228454321514,84.1970666370789,999,1,
S96-A76,NTC2,Unknown,1,Mpl,Test,18.1067929587134,0,Fail,0.0203228454321514,999,79.2777282375225,0,
S96-A75,NTC2,Unknown,1,Gfi1b,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A74,NTC2,Unknown,1,Egr1,Test,20.576650551627,0,Fail,0.0203228454321514,999,77.0940447634825,0,
S96-A73,NTC2,Unknown,1,Cdkn1a,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A84,NTC2,Unknown,1,pbx3,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A83,NTC2,Unknown,1,Cebpb,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A82,NTC2,Unknown,1,TEK,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A81,NTC2,Unknown,1,Prdm5,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A80,NTC2,Unknown,1,Mdm2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A79,NTC2,Unknown,1,GMNN,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A90,NTC2,Unknown,1,CDK6,Test,24.4432685314337,1,Fail,0.0203228454321514,79.9793061356901,999,1,
S96-A89,NTC2,Unknown,1,Trp53,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A88,NTC2,Unknown,1,Myb,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A87,NTC2,Unknown,1,Hlf,Test,16.8423115146151,1,Pass,0.0203228454321514,81.1466343851725,999,1,
S96-A86,NTC2,Unknown,1,Ezh2,Test,22.3495621352827,0,Fail,0.0203228454321514,999,999,0,
S96-A85,NTC2,Unknown,1,Cdkn1b,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A96,NTC2,Unknown,1,Runx1t1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A95,NTC2,Unknown,1,Erg,Test,23.170099709257,0,Fail,0.0203228454321514,999,77.7985321143531,0,
S96-A94,NTC2,Unknown,1,Tgm2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A93,NTC2,Unknown,1,Prmt2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A92,NTC2,Unknown,1,mettl7a1,Test,22.7001199032084,0,Fail,0.0203228454321514,999,76.9408414680446,0,
S96-A91,NTC2,Unknown,1,Hk3,Test,22.9853669276354,0,Fail,0.0203228454321514,999,78.6779539705523,0,
S06-A01, P2 A6,Unknown,1,Actb,Test,8.21844047254724,1,Pass,0.0203228454321514,83.6294488082683,999,1,
S06-A02, P2 A6,Unknown,1,Cdkn2d,Test,17.2974750673623,1,Pass,0.0203228454321514,83.9133149151726,999,1,
S06-A03, P2 A6,Unknown,1,Fgd5,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A04, P2 A6,Unknown,1,Hoxb5,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A05, P2 A6,Unknown,1,Myc,Test,13.7668813216936,1,Pass,0.0203228454321514,83.3196156427467,999,1,
S06-A06, P2 A6,Unknown,1,vwf,Test,15.0860729511421,0,Fail,0.0203228454321514,999,79.1966160875738,0,
S06-A07, P2 A6,Unknown,1,Cdt1,Test,15.7427413283403,1,Pass,0.0203228454321514,81.0057121451599,999,1,
S06-A08, P2 A6,Unknown,1,Ikzf1,Test,13.9972796730759,1,Pass,0.0203228454321514,82.7501106934839,999,1,
S06-A09, P2 A6,Unknown,1,Mitf,Test,16.5870843027266,0,Fail,0.0203228454321514,999,999,0,
S06-A10, P2 A6,Unknown,1,Rbl1,Test,13.3507674876917,1,Pass,0.0203228454321514,80.1812458477578,999,1,
S06-A11, P2 A6,Unknown,1,Trib2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A12, P2 A6,Unknown,1,Fli1,Test,12.7808791617772,1,Pass,0.0203228454321514,85.7309853350344,999,1,
S06-A13, P2 A6,Unknown,1,Ccnd1,Test,16.2516130989613,1,Pass,0.0203228454321514,83.3023509625768,999,1,
S06-A14, P2 A6,Unknown,1,Cebpa,Test,10.7902635363196,1,Pass,0.0203228454321514,79.0098901550287,999,1,
S06-A15, P2 A6,Unknown,1,Flt3,Test,14.4319159847453,1,Pass,0.0203228454321514,81.6575249067664,999,1,
S06-A16, P2 A6,Unknown,1,Il7r,Test,18.4108081803042,0,Fail,0.0203228454321514,999,71.9337741736531,0,
S06-A17, P2 A6,Unknown,1,Nfil3,Test,11.9873054605846,0,Pass,0.0203228454321514,83.549508946989,74.7107620601921,0.788681881705178,
S06-A18, P2 A6,Unknown,1,Cbfa2t3,Test,13.7442956555809,0,Pass,0.0203228454321514,86.9660083134512,75.686585014051,0.626625666974335,
S06-A19, P2 A6,Unknown,1,Cebpe,Test,24.0348926392385,0,Fail,0.0203228454321514,999,80.5422669791283,0,
S06-A20, P2 A6,Unknown,1,IKZF2,Test,26.1197600053147,1,Fail,0.0203228454321514,81.0852876543826,999,1,
S06-A21, P2 A6,Unknown,1,Mllt3,Test,15.1433159863292,1,Pass,0.0203228454321514,82.9620873169091,999,1,
S06-A22, P2 A6,Unknown,1,Rbl2,Test,14.1380609938323,1,Pass,0.0203228454321514,81.0395312416646,999,1,
S06-A23, P2 A6,Unknown,1,trib3,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A24, P2 A6,Unknown,1,Gfi1,Test,13.5336595775284,1,Pass,0.0203228454321514,85.2895162229326,999,1,
S06-A25, P2 A6,Unknown,1,Ccnd2,Test,11.7525759187922,1,Pass,0.0203228454321514,85.2605486570294,999,1,
S06-A26, P2 A6,Unknown,1,Csf2rb,Test,11.8849607969862,1,Pass,0.0203228454321514,81.2815795593173,999,1,
S06-A27, P2 A6,Unknown,1,Fos,Test,23.487611659055,0,Fail,0.0203228454321514,999,80.4996895665096,0,
S06-A28, P2 A6,Unknown,1,Jun,Test,12.0396989714501,1,Pass,0.0203228454321514,85.3946878499103,999,1,
S06-A29, P2 A6,Unknown,1,Rb1,Test,13.1311429010819,1,Pass,0.0203228454321514,81.1579319476182,999,1,
S06-A30, P2 A6,Unknown,1,cbx6,Test,14.4498854558263,1,Pass,0.0203228454321514,84.2805266339539,999,1,
S06-A31, P2 A6,Unknown,1,Csf1r,Test,11.4969953373867,1,Pass,0.0203228454321514,83.4106485132214,999,1,
S06-A32, P2 A6,Unknown,1,Itga2b,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A33, P2 A6,Unknown,1,ndn,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A34, P2 A6,Unknown,1,Runx1,Test,11.4488384858341,0,Pass,0.0203228454321514,84.7751749003239,74.9917253353584,0.788355221466749,
S06-A35, P2 A6,Unknown,1,zbtb20,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A36, P2 A6,Unknown,1,Hhex ,Test,17.2312248289453,1,Pass,0.0203228454321514,83.6187637342311,999,1,
S06-A37, P2 A6,Unknown,1,Ccnd3,Test,13.8397762748341,1,Pass,0.0203228454321514,85.1363882961526,78.7378939146265,0.819260607981665,
S06-A38, P2 A6,Unknown,1,Dnmt3a,Test,13.7151463463052,1,Pass,0.0203228454321514,81.4937674614274,999,1,
S06-A39, P2 A6,Unknown,1,Gapdh,Test,8.93713836119444,1,Pass,0.0203228454321514,84.0969524704556,999,1,
S06-A40, P2 A6,Unknown,1,Kit,Test,12.3209128177759,1,Pass,0.0203228454321514,80.8592040869451,999,1,
S06-A41, P2 A6,Unknown,1,Sfpi,Test,10.8493099699238,1,Pass,0.0203228454321514,83.0998591553284,999,1,
S06-A42, P2 A6,Unknown,1,Cbx7,Test,15.7161594406522,1,Pass,0.0203228454321514,81.9770164749578,999,1,
S06-A43, P2 A6,Unknown,1,Epor,Test,24.4273035123186,0,Fail,0.0203228454321514,999,80.9395926123552,0,
S06-A44, P2 A6,Unknown,1,Ldb1,Test,12.0867217001605,1,Pass,0.0203228454321514,83.4244454541119,999,1,
S06-A45, P2 A6,Unknown,1,Nfat5,Test,14.1049130820274,1,Pass,0.0203228454321514,81.9486492719039,999,1,
S06-A46, P2 A6,Unknown,1,Tcf15,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A47, P2 A6,Unknown,1,Zfp37,Test,24.6588278102139,0,Fail,0.0203228454321514,999,76.5896683762483,0,
S06-A48, P2 A6,Unknown,1,Klf1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A54, P2 A6,Unknown,1,Ccne1,Test,14.1821094030966,1,Pass,0.0203228454321514,83.6609351602049,999,1,
S06-A53, P2 A6,Unknown,1,Slamf1,Test,17.1348421143087,0,Fail,0.0203228454321514,999,76.7078917602102,0,
S06-A52, P2 A6,Unknown,1,Lmo2,Test,10.6662228191021,1,Pass,0.0203228454321514,81.8522297018262,999,1,
S06-A51, P2 A6,Unknown,1,Gata1,Test,23.0540673331375,0,Fail,0.0203228454321514,999,77.8356298016442,0,
S06-A50, P2 A6,Unknown,1,Dntt,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A49, P2 A6,Unknown,1,Cd34,Test,10.8187539897416,1,Pass,0.0203228454321514,80.8897496405188,999,1,
