Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\141104EES Plate3 Amol index\ChipRun.bml,1361995087,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-11-04 16:17:18,00:30:47,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A02, P3 A6,Unknown,1,Cdkn2d,Test,17.8490640216694,1,Pass,0.01733464063088,84.1301975650568,999,1,
S06-A03, P3 A6,Unknown,1,Fgd5,Test,22.0894701159627,0,Fail,0.01733464063088,999,80.5846041274195,0,
S06-A04, P3 A6,Unknown,1,Hoxb5,Test,17.2641167797518,1,Pass,0.01733464063088,86.0583855672136,999,1,
S06-A05, P3 A6,Unknown,1,Myc,Test,11.6039081949799,1,Pass,0.01733464063088,83.8603037169122,999,1,
S06-A06, P3 A6,Unknown,1,vwf,Test,16.5007860387059,0,Fail,0.01733464063088,85.6457424270554,79.1356199069887,0.403528597751757,
S06-A07, P3 A6,Unknown,1,Cdt1,Test,16.08020273089,1,Pass,0.01733464063088,81.550970612616,999,1,
S06-A08, P3 A6,Unknown,1,Ikzf1,Test,13.5031745902763,1,Pass,0.01733464063088,82.9730726747334,999,1,
S06-A09, P3 A6,Unknown,1,Mitf,Test,16.4961188724873,1,Pass,0.01733464063088,81.5330874607753,999,1,
S06-A10, P3 A6,Unknown,1,Rbl1,Test,12.7835493148549,1,Pass,0.01733464063088,80.3282061234269,999,1,
S06-A11, P3 A6,Unknown,1,Trib2,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A12, P3 A6,Unknown,1,Fli1,Test,13.1302010189575,1,Pass,0.01733464063088,85.9496631961283,999,1,
S06-A13, P3 A6,Unknown,1,Ccnd1,Test,24.0022541849103,0,Fail,0.01733464063088,999,78.3224016306662,0,
S06-A14, P3 A6,Unknown,1,Cebpa,Test,12.6555241291278,1,Pass,0.01733464063088,79.1511541164944,999,1,
S06-A15, P3 A6,Unknown,1,Flt3,Test,15.0010901371347,1,Pass,0.01733464063088,81.7829733382701,999,1,
S06-A16, P3 A6,Unknown,1,Il7r,Test,17.3350351322238,0,Fail,0.01733464063088,999,72.1637797659356,0,
S06-A17, P3 A6,Unknown,1,Nfil3,Test,12.2073525302458,0,Pass,0.01733464063088,84.7607894454358,74.8619174680121,0.676372854131732,
S06-A18, P3 A6,Unknown,1,Cbfa2t3,Test,14.7165992033682,0,Pass,0.01733464063088,87.6344943174405,76.1562464138819,0.720864552696483,
S06-A19, P3 A6,Unknown,1,Cebpe,Test,16.7639894697458,0,Pass,0.01733464063088,88.0874467254745,80.9847169319451,0.774026776795529,
S06-A20, P3 A6,Unknown,1,IKZF2,Test,23.9202487771509,1,Fail,0.01733464063088,81.2052954837508,999,1,
S06-A21, P3 A6,Unknown,1,Mllt3,Test,17.2952200023935,1,Pass,0.01733464063088,83.1234067252952,999,1,
S06-A22, P3 A6,Unknown,1,Rbl2,Test,13.9350562220882,1,Pass,0.01733464063088,81.9389572215927,999,1,
S06-A23, P3 A6,Unknown,1,trib3,Test,18.8142876034469,1,Pass,0.01733464063088,83.3447444577576,999,1,
S06-A24, P3 A6,Unknown,1,Gfi1,Test,12.7014223441015,1,Pass,0.01733464063088,85.6209786035378,999,1,
S06-A25, P3 A6,Unknown,1,Ccnd2,Test,13.916646364291,1,Pass,0.01733464063088,85.5819857420237,999,1,
S06-A26, P3 A6,Unknown,1,Csf2rb,Test,13.3006199271609,1,Pass,0.01733464063088,81.3600717122052,999,1,
S06-A27, P3 A6,Unknown,1,Fos,Test,22.9033288337245,0,Fail,0.01733464063088,999,79.8530246821923,0,
